arm,phase,test,h4,h7,h8,h9,median
ssig-res,post,eucl-disc,0.0236,0.0205,0.0137,0.0157,0.0181
ssig-res,post,maha,0.0288,0.0163,0.0148,0.0142,0.0155
ssig-res,post,mmd,0.0444,0.0734,0.0205,0.0327,0.0385
ssig-res,post,sparker,0.0490,0.0410,0.0252,0.0186,0.0331
ssig-res,post,sparker-anch,0.0662,0.0439,0.0350,0.0156,0.0394
ssig-resnplm,pre,eucl,0.0233,0.0263,0.0265,0.0242,0.0253
ssig-resnplm,pre,maha,0.0615,0.0758,0.0262,0.0250,0.0439
ssig-resnplm,pre,mmd,0.0432,0.0824,0.0167,0.0327,0.0380
ssig-resnplm,pre,sparker,0.0230,0.0247,0.0209,0.0174,0.0219
ssig-resnplm,post,eucl,0.0244,0.0156,0.0175,0.0172,0.0174
ssig-resnplm,post,eucl-disc,0.0257,0.0145,0.0156,0.0155,0.0156
ssig-resnplm,post,maha,0.0267,0.0310,0.0181,0.0174,0.0224
ssig-resnplm,post,mmd,0.0310,0.0405,0.0205,0.0268,0.0289
ssig-resnplm,post,sparker,0.0275,0.0188,0.0232,0.0160,0.0210
ssig-resnplm,post,sparker-anch,0.0257,0.0163,0.0173,0.0159,0.0168
nplmsd-res,pre,eucl,>.1,0.0836,>.1,>.1,0.0836
nplmsd-res,pre,maha,>.1,0.0358,>.1,0.0466,0.0412
nplmsd-res,pre,mmd,0.0407,0.0836,0.0165,0.0522,0.0464
nplmsd-res,pre,sparker,0.0768,0.0453,0.0461,0.0437,0.0457
nplmsd-res,post,eucl,0.0263,0.0189,0.0176,0.0214,0.0202
nplmsd-res,post,eucl-disc,0.0155,0.0174,0.0137,0.0157,0.0156
nplmsd-res,post,maha,0.0196,0.0233,0.0173,0.0168,0.0184
nplmsd-res,post,mmd,0.0472,0.0854,0.0205,0.0445,0.0458
nplmsd-res,post,sparker,0.0280,0.0279,0.0233,0.0188,0.0256
nplmsd-res,post,sparker-anch,0.0285,0.0340,0.0242,0.0247,0.0266
nplmsd-resnplm,pre,eucl,>.1,>.1,>.1,>.1,>.1
nplmsd-resnplm,pre,maha,>.1,>.1,0.0703,0.0266,0.0484
nplmsd-resnplm,pre,mmd,0.0858,0.0675,0.0209,0.0178,0.0442
nplmsd-resnplm,pre,sparker,0.0492,0.0487,0.0293,0.0243,0.0390
nplmsd-resnplm,post,eucl,0.0841,0.0807,0.0242,0.0257,0.0532
nplmsd-resnplm,post,eucl-disc,0.0177,0.0370,0.0177,0.0154,0.0177
nplmsd-resnplm,post,maha,0.0758,0.0675,0.0247,0.0246,0.0461
nplmsd-resnplm,post,mmd,0.0383,0.0848,0.0270,0.0417,0.0400
nplmsd-resnplm,post,sparker,0.0744,0.0615,0.0238,0.0195,0.0427
nplmsd-resnplm,post,sparker-anch,0.0615,0.0592,0.0238,0.0165,0.0415
nplmcw-res,pre,eucl,>.1,>.1,>.1,>.1,>.1
nplmcw-res,pre,maha,>.1,0.0226,>.1,0.0226,0.0226
nplmcw-res,pre,mmd,0.0402,0.0675,0.0178,0.0340,0.0371
nplmcw-res,pre,sparker,0.0838,0.0391,0.0537,0.0419,0.0478
nplmcw-res,post,eucl,0.0221,0.0168,0.0165,0.0214,0.0191
nplmcw-res,post,eucl-disc,0.0165,0.0167,0.0094,0.0238,0.0166
nplmcw-res,post,maha,0.0196,0.0170,0.0155,0.0152,0.0162
nplmcw-res,post,mmd,0.0464,0.0806,0.0169,0.0340,0.0402
nplmcw-res,post,sparker,0.0290,0.0273,0.0171,0.0238,0.0256
nplmcw-res,post,sparker-anch,0.0272,0.0247,0.0161,0.0266,0.0256
nplmcw-resnplm,pre,eucl,>.1,0.0450,>.1,>.1,0.0450
nplmcw-resnplm,pre,maha,0.0817,0.0255,0.0424,0.0242,0.0339
nplmcw-resnplm,pre,mmd,0.0454,0.0848,0.0230,0.0268,0.0361
nplmcw-resnplm,pre,sparker,0.0794,0.0522,0.0329,0.0284,0.0425
nplmcw-resnplm,post,eucl,0.0274,0.0236,0.0214,0.0174,0.0225
nplmcw-resnplm,post,eucl-disc,0.0205,0.0155,0.0150,0.0149,0.0153
nplmcw-resnplm,post,maha,0.0257,0.0160,0.0226,0.0135,0.0193
nplmcw-resnplm,post,mmd,0.0386,0.0664,0.0168,0.0273,0.0329
nplmcw-resnplm,post,sparker,0.0453,0.0397,0.0177,0.0215,0.0306
nplmcw-resnplm,post,sparker-anch,0.0391,0.0462,0.0191,0.0175,0.0291
supsig-res,pre,eucl,>.1,>.1,>.1,>.1,>.1
supsig-res,pre,maha,>.1,0.0261,0.0615,0.0634,0.0615
supsig-res,pre,mmd,0.0455,0.0739,0.0149,0.0429,0.0442
supsig-res,pre,sparker,0.0642,0.0432,0.0343,0.0329,0.0388
supsig-res,post,eucl,0.0242,0.0194,0.0195,0.0205,0.0200
supsig-res,post,eucl-disc,0.0236,0.0226,0.0182,0.0221,0.0223
supsig-res,post,maha,0.0279,0.0173,0.0230,0.0193,0.0211
supsig-res,post,mmd,0.0436,0.0862,0.0182,0.0592,0.0514
supsig-res,post,sparker,0.0443,0.0275,0.0252,0.0205,0.0264
supsig-res,post,sparker-anch,0.0492,0.0250,0.0226,0.0215,0.0238
supsig-resnplm,pre,eucl,0.0794,0.0370,>.1,>.1,0.0582
supsig-resnplm,pre,maha,0.0758,0.0675,0.0383,0.0165,0.0529
supsig-resnplm,pre,mmd,0.0465,0.0868,0.0182,0.0398,0.0431
supsig-resnplm,pre,sparker,0.0424,0.0432,0.0488,0.0243,0.0428
supsig-resnplm,post,eucl,0.0350,0.0289,0.0277,0.0154,0.0283
supsig-resnplm,post,eucl-disc,0.0248,0.0275,0.0246,0.0153,0.0247
supsig-resnplm,post,maha,0.0310,0.0292,0.0242,0.0163,0.0267
supsig-resnplm,post,mmd,0.0451,0.0836,0.0187,0.0379,0.0415
supsig-resnplm,post,sparker,0.0394,0.0292,0.0262,0.0176,0.0277
supsig-resnplm,post,sparker-anch,0.0266,0.0255,0.0232,0.0159,0.0243
