device=cuda  bases=['dino', 'lejepa', 'visreg']  emb_dim=100  lam=5

################ base: DINO ViT-B/16 ################
  cached plain features: /home/pharris/sigreg/SuperSig/data/dtd_feats_dino_vitb16.pt
  cached aug bank: /home/pharris/sigreg/SuperSig/data/dtd_augfeats_dino_vitb16_a24.pt
--- [dino] ss[lam5]: SupCon + SIGReg on raw z ---
  [supcon+sigreg] epoch 80/120  supcon=3.1648  sigreg=0.0307
  [supcon+sigreg] epoch 81/120  supcon=3.1624  sigreg=0.0293
  [supcon+sigreg] epoch 82/120  supcon=3.1546  sigreg=0.0284
  [supcon+sigreg] epoch 83/120  supcon=3.1590  sigreg=0.0290
  [supcon+sigreg] epoch 84/120  supcon=3.1610  sigreg=0.0308
  [supcon+sigreg] epoch 85/120  supcon=3.1597  sigreg=0.0278
  [supcon+sigreg] epoch 86/120  supcon=3.1545  sigreg=0.0288
  [supcon+sigreg] epoch 87/120  supcon=3.1516  sigreg=0.0285
  [supcon+sigreg] epoch 88/120  supcon=3.1536  sigreg=0.0315
  [supcon+sigreg] epoch 89/120  supcon=3.1523  sigreg=0.0315
  [supcon+sigreg] epoch 90/120  supcon=3.1527  sigreg=0.0293
  [supcon+sigreg] epoch 91/120  supcon=3.1526  sigreg=0.0310
  [supcon+sigreg] epoch 92/120  supcon=3.1553  sigreg=0.0281
  [supcon+sigreg] epoch 93/120  supcon=3.1488  sigreg=0.0280
  [supcon+sigreg] epoch 94/120  supcon=3.1426  sigreg=0.0279
  [supcon+sigreg] epoch 95/120  supcon=3.1543  sigreg=0.0286
  [supcon+sigreg] epoch 96/120  supcon=3.1417  sigreg=0.0259
  [supcon+sigreg] epoch 97/120  supcon=3.1418  sigreg=0.0267
  [supcon+sigreg] epoch 98/120  supcon=3.1408  sigreg=0.0283
  [supcon+sigreg] epoch 99/120  supcon=3.1411  sigreg=0.0287
  [supcon+sigreg] epoch 100/120  supcon=3.1459  sigreg=0.0284
  [supcon+sigreg] epoch 101/120  supcon=3.1380  sigreg=0.0304
  [supcon+sigreg] epoch 102/120  supcon=3.1448  sigreg=0.0288
  [supcon+sigreg] epoch 103/120  supcon=3.1446  sigreg=0.0292
  [supcon+sigreg] epoch 104/120  supcon=3.1410  sigreg=0.0288
  [supcon+sigreg] epoch 105/120  supcon=3.1375  sigreg=0.0275
  [supcon+sigreg] epoch 106/120  supcon=3.1328  sigreg=0.0282
  [supcon+sigreg] epoch 107/120  supcon=3.1298  sigreg=0.0265
  [supcon+sigreg] epoch 108/120  supcon=3.1496  sigreg=0.0297
  [supcon+sigreg] epoch 109/120  supcon=3.1377  sigreg=0.0272
  [supcon+sigreg] epoch 110/120  supcon=3.1325  sigreg=0.0277
  [supcon+sigreg] epoch 111/120  supcon=3.1385  sigreg=0.0274
  [supcon+sigreg] epoch 112/120  supcon=3.1290  sigreg=0.0259
