device=cuda  bases=['dino', 'lejepa', 'visreg']  emb_dim=16  lam=5

################ base: DINO ViT-B/16 ################
  cached plain features: /home/pharris/sigreg/SuperSig/data/dtd_feats_dino_vitb16.pt
  cached aug bank: /home/pharris/sigreg/SuperSig/data/dtd_augfeats_dino_vitb16_a24.pt
--- [dino] ss[lam5]: SupCon + SIGReg on raw z ---
  [supcon+sigreg] epoch 80/120  supcon=3.1519  sigreg=0.0181
  [supcon+sigreg] epoch 81/120  supcon=3.1500  sigreg=0.0187
  [supcon+sigreg] epoch 82/120  supcon=3.1481  sigreg=0.0175
  [supcon+sigreg] epoch 83/120  supcon=3.1520  sigreg=0.0174
  [supcon+sigreg] epoch 84/120  supcon=3.1482  sigreg=0.0161
  [supcon+sigreg] epoch 85/120  supcon=3.1454  sigreg=0.0163
  [supcon+sigreg] epoch 86/120  supcon=3.1427  sigreg=0.0160
  [supcon+sigreg] epoch 87/120  supcon=3.1498  sigreg=0.0161
  [supcon+sigreg] epoch 88/120  supcon=3.1410  sigreg=0.0163
  [supcon+sigreg] epoch 89/120  supcon=3.1435  sigreg=0.0163
  [supcon+sigreg] epoch 90/120  supcon=3.1373  sigreg=0.0148
  [supcon+sigreg] epoch 91/120  supcon=3.1374  sigreg=0.0153
  [supcon+sigreg] epoch 92/120  supcon=3.1336  sigreg=0.0168
  [supcon+sigreg] epoch 93/120  supcon=3.1412  sigreg=0.0160
  [supcon+sigreg] epoch 94/120  supcon=3.1387  sigreg=0.0170
  [supcon+sigreg] epoch 95/120  supcon=3.1434  sigreg=0.0180
  [supcon+sigreg] epoch 96/120  supcon=3.1373  sigreg=0.0178
  [supcon+sigreg] epoch 97/120  supcon=3.1418  sigreg=0.0163
  [supcon+sigreg] epoch 98/120  supcon=3.1376  sigreg=0.0160
  [supcon+sigreg] epoch 99/120  supcon=3.1379  sigreg=0.0167
  [supcon+sigreg] epoch 100/120  supcon=3.1323  sigreg=0.0175
  [supcon+sigreg] epoch 101/120  supcon=3.1339  sigreg=0.0182
  [supcon+sigreg] epoch 102/120  supcon=3.1326  sigreg=0.0165
  [supcon+sigreg] epoch 103/120  supcon=3.1389  sigreg=0.0168
  [supcon+sigreg] epoch 104/120  supcon=3.1391  sigreg=0.0166
  [supcon+sigreg] epoch 105/120  supcon=3.1288  sigreg=0.0176
  [supcon+sigreg] epoch 106/120  supcon=3.1411  sigreg=0.0167
  [supcon+sigreg] epoch 107/120  supcon=3.1347  sigreg=0.0172
  [supcon+sigreg] epoch 108/120  supcon=3.1378  sigreg=0.0160
  [supcon+sigreg] epoch 109/120  supcon=3.1341  sigreg=0.0156
  [supcon+sigreg] epoch 110/120  supcon=3.1304  sigreg=0.0166
  [supcon+sigreg] epoch 111/120  supcon=3.1283  sigreg=0.0145
  [supcon+sigreg] epoch 112/120  supcon=3.1286  sigreg=0.0146
  [supcon+sigreg] epoch 113/120  supcon=3.1390  sigreg=0.0157
  [supcon+sigreg] epoch 114/120  supcon=3.1300  sigreg=0.0164
  [supcon+sigreg] epoch 115/120  supcon=3.1327  sigreg=0.0157
  [supcon+sigreg] epoch 116/120  supcon=3.1257  sigreg=0.0155
  [supcon+sigreg] epoch 117/120  supcon=3.1310  sigreg=0.0150
  [supcon+sigreg] epoch 118/120  supcon=3.1302  sigreg=0.0155
  [supcon+sigreg] epoch 119/120  supcon=3.1270  sigreg=0.0158
  [supcon+sigreg] epoch 120/120  supcon=3.1305  sigreg=0.0181
--- [dino] hybrid half (NT-Xent + SIGReg lam=5) ---
  [simclr+sigreg] epoch 1/120  nt-xent=5.5114  sigreg=0.1790
  [simclr+sigreg] epoch 2/120  nt-xent=5.3125  sigreg=0.0935
  [simclr+sigreg] epoch 3/120  nt-xent=5.2744  sigreg=0.0337
  [simclr+sigreg] epoch 4/120  nt-xent=5.2506  sigreg=0.0239
  [simclr+sigreg] epoch 5/120  nt-xent=5.2309  sigreg=0.0208
  [simclr+sigreg] epoch 6/120  nt-xent=5.2199  sigreg=0.0159
  [simclr+sigreg] epoch 7/120  nt-xent=5.2085  sigreg=0.0115
  [simclr+sigreg] epoch 8/120  nt-xent=5.1991  sigreg=0.0113
  [simclr+sigreg] epoch 9/120  nt-xent=5.1994  sigreg=0.0132
  [simclr+sigreg] epoch 10/120  nt-xent=5.1915  sigreg=0.0107
  [simclr+sigreg] epoch 11/120  nt-xent=5.1899  sigreg=0.0109
  [simclr+sigreg] epoch 12/120  nt-xent=5.1857  sigreg=0.0123
  [simclr+sigreg] epoch 13/120  nt-xent=5.1865  sigreg=0.0122
